,origem,destino,distance,STEPS_Status.FULL_JUMP,STEPS_Status.SINGLE_JUMP,STEPS_Status.SEQUENTIAL
0,798,781,-17,65,969,984
1,535,46,-489,36,497,512
2,188,200,12,3,6,13
3,118,408,290,20,276,291
4,677,343,-334,44,652,667
5,662,925,263,20,249,264
6,225,440,215,17,201,216
7,119,456,337,23,323,338
8,943,229,-714,21,272,287
9,68,7,-61,62,925,940
10,762,234,-528,31,458,473
11,415,463,48,4,34,49
12,157,147,-10,65,976,991
13,815,690,-125,58,861,876
14,401,995,594,39,580,595
15,317,43,-274,48,712,727
16,950,657,-293,47,693,708
17,514,187,-327,44,659,674
18,469,137,-332,44,654,669
19,157,318,161,12,147,162
20,687,941,254,19,240,255
21,639,417,-222,51,764,779
22,742,635,-107,59,879,894
23,897,903,6,3,4,7
24,134,48,-86,59,900,915
25,539,375,-164,54,822,837
26,932,619,-313,47,673,688
27,225,181,-44,62,942,957
28,57,884,827,55,813,828
29,836,225,-611,27,375,390
30,911,524,-387,41,599,614
31,178,980,802,52,788,803
32,144,549,405,28,391,406
33,278,503,225,16,211,226
34,606,411,-195,53,791,806
35,731,826,95,10,81,96
36,900,537,-363,43,623,638
37,808,125,-683,23,303,318
38,118,90,-28,63,958,973
39,950,256,-694,21,292,307
40,915,919,4,2,2,5
41,389,368,-21,64,965,980
42,668,487,-181,54,805,820
43,830,354,-476,35,510,525
44,242,127,-115,58,871,886
45,997,302,-695,21,291,306
46,484,144,-340,43,646,661
47,150,924,774,51,760,775
48,871,550,-321,46,665,680
49,965,410,-555,31,431,446
50,709,955,246,18,232,247
51,186,174,-12,64,974,989
52,0,268,268,19,254,269
53,296,912,616,40,602,617
54,639,485,-154,56,832,847
55,665,295,-370,42,616,631
56,560,565,5,3,3,6
57,555,298,-257,50,729,744
58,831,408,-423,38,563,578
59,634,406,-228,50,758,773
60,899,229,-670,23,316,331
61,129,334,205,16,191,206
62,190,585,395,28,381,396
63,16,747,731,49,717,732
64,11,847,836,54,822,837
65,426,924,498,33,484,499
66,508,4,-504,32,482,497
67,194,270,76,7,62,77
68,181,71,-110,58,876,891
69,480,487,7,4,5,8
70,868,360,-508,33,478,493
71,517,424,-93,60,893,908
72,118,960,842,55,828,843
73,99,529,430,30,416,431
74,845,759,-86,59,900,915
75,963,146,-817,15,169,184
76,830,177,-653,25,333,348
77,136,412,276,19,262,277
78,287,984,697,46,683,698
79,545,221,-324,44,662,677
80,561,559,-2,65,984,999
81,991,152,-839,12,147,162
82,848,367,-481,36,505,520
83,565,148,-417,40,569,584
84,57,599,542,37,528,543
85,843,868,25,4,11,26
86,917,271,-646,24,340,355
87,851,224,-627,26,359,374
88,531,416,-115,58,871,886
89,168,87,-81,61,905,920
90,683,210,-473,37,513,528
91,802,94,-708,20,278,293
92,60,882,822,54,808,823
93,861,250,-611,27,375,390
94,97,337,240,16,226,241
95,599,461,-138,57,848,863
96,680,941,261,19,247,262
97,517,130,-387,41,599,614
98,164,234,70,7,56,71
99,809,797,-12,64,974,989
100,874,482,-392,39,594,609
101,712,676,-36,62,950,965
102,894,837,-57,63,929,944
103,241,906,665,44,651,666
104,276,938,662,44,648,663
105,999,583,-416,38,570,585
106,385,593,208,14,194,209
107,533,543,10,3,4,11
108,56,426,370,25,356,371
109,708,641,-67,61,919,934
110,358,453,95,10,81,96
111,834,104,-730,20,256,271
112,266,15,-251,50,735,750
113,207,302,95,10,81,96
114,0,875,875,58,861,876
115,382,325,-57,63,929,944
116,136,580,444,30,430,445
117,443,771,328,22,314,329
118,56,281,225,16,211,226
119,676,79,-597,28,389,404
120,363,898,535,37,521,536
121,83,549,466,31,452,467
122,959,734,-225,52,761,776
123,279,41,-238,50,748,763
124,743,862,119,11,105,120
125,390,679,289,20,275,290
126,444,26,-418,39,568,583
127,685,664,-21,64,965,980
128,399,571,172,13,158,173
129,155,24,-131,57,855,870
130,184,177,-7,64,979,994
131,998,465,-533,32,453,468
132,177,494,317,23,303,318
133,378,121,-257,50,729,744
134,21,671,650,43,636,651
135,397,733,336,22,322,337
136,569,212,-357,43,629,644
137,851,320,-531,32,455,470
138,240,147,-93,60,893,908
139,92,938,846,56,832,847
140,157,527,370,25,356,371
141,584,862,278,20,264,279
142,874,665,-209,53,777,792
143,575,832,257,18,243,258
144,811,281,-530,32,456,471
145,358,973,615,42,601,616
146,652,726,74,7,60,75
147,459,124,-335,44,651,666
148,831,127,-704,20,282,297
149,241,698,457,31,443,458
150,633,772,139,12,125,140
151,952,381,-571,30,415,430
152,178,892,714,47,700,715
153,19,407,388,26,374,389
154,304,521,217,16,203,218
155,214,356,142,12,128,143
156,64,993,929,60,915,930
157,995,882,-113,59,873,888
158,223,479,256,17,242,257
159,587,848,261,19,247,262
160,739,933,194,14,180,195
161,36,425,389,27,375,390
162,746,698,-48,61,938,953
163,74,474,400,26,386,401
164,894,497,-397,41,589,604
165,619,631,12,3,6,13
166,866,124,-742,18,244,259
167,776,716,-60,61,926,941
168,638,293,-345,45,641,656
169,347,657,310,22,296,311
170,361,420,59,7,45,60
171,862,544,-318,45,668,683
172,604,729,125,11,111,126
173,310,857,547,37,533,548
174,535,842,307,22,293,308
175,821,842,21,4,7,22
176,712,524,-188,53,798,813
177,917,670,-247,49,739,754
178,410,132,-278,47,708,723
179,355,956,601,40,587,602
180,902,705,-197,53,789,804
181,891,337,-554,31,432,447
182,470,215,-255,49,731,746
183,150,106,-44,62,942,957
184,239,249,10,3,4,11
185,953,928,-25,65,961,976
186,59,44,-15,64,971,986
187,878,461,-417,40,569,584
188,487,360,-127,57,859,874
189,493,695,202,15,188,203
190,956,116,-840,11,146,161
191,71,116,45,6,31,46
192,782,777,-5,65,981,996
193,459,480,21,4,7,22
194,204,472,268,19,254,269
195,589,839,250,18,236,251
196,64,106,42,5,28,43
197,489,984,495,35,481,496
198,143,56,-87,59,899,914
199,121,794,673,44,659,674
200,169,681,512,33,498,513
201,538,785,247,19,233,248
202,169,168,-1,66,985,1000
203,755,997,242,17,228,243
204,58,966,908,59,894,909
205,861,62,-799,15,187,202
206,738,204,-534,31,452,467
207,286,723,437,30,423,438
208,268,167,-101,59,885,900
209,591,784,193,14,179,194
210,381,887,506,34,492,507
211,548,733,185,14,171,186
212,741,374,-367,42,619,634
213,617,453,-164,54,822,837
214,50,496,446,31,432,447
215,375,803,428,29,414,429
216,998,799,-199,52,787,802
217,908,245,-663,23,323,338
218,815,812,-3,65,983,998
219,648,58,-590,28,396,411
220,443,953,510,35,496,511
221,285,756,471,33,457,472
222,664,680,16,2,2,17
223,45,907,862,57,848,863
224,551,390,-161,56,825,840
225,386,360,-26,64,960,975
226,624,194,-430,38,556,571
227,274,696,422,29,408,423
228,973,693,-280,46,706,721
229,182,303,121,10,107,122
230,453,713,260,18,246,261
231,772,611,-161,56,825,840
232,991,730,-261,49,725,740
233,296,875,579,39,565,580
234,824,231,-593,29,393,408
235,454,291,-163,55,823,838
236,342,166,-176,53,810,825
237,790,649,-141,57,845,860
238,137,659,522,35,508,523
239,735,794,59,7,45,60
240,139,581,442,30,428,443
241,116,853,737,48,723,738
242,71,981,910,60,896,911
243,288,642,354,24,340,355
244,721,61,-660,23,326,341
245,552,408,-144,55,842,857
246,492,170,-322,45,664,679
247,430,952,522,35,508,523
248,901,555,-346,44,640,655
249,418,177,-241,51,745,760
250,909,584,-325,45,661,676
251,741,458,-283,48,703,718
252,946,470,-476,35,510,525
253,861,160,-701,22,285,300
254,836,274,-562,30,424,439
255,810,623,-187,54,799,814
256,245,812,567,39,553,568
257,373,193,-180,53,806,821
258,754,882,128,9,114,129
259,474,460,-14,64,972,987
260,619,100,-519,32,467,482
261,512,960,448,29,434,449
262,151,363,212,15,198,213
263,428,882,454,31,440,455
264,1,48,47,7,33,48
265,337,144,-193,54,793,808
266,175,321,146,11,132,147
267,784,914,130,10,116,131
268,30,29,-1,66,985,1000
269,921,118,-803,15,183,198
270,339,973,634,42,620,635
271,617,88,-529,33,457,472
272,856,307,-549,31,437,452
273,773,351,-422,38,564,579
274,136,610,474,32,460,475
275,715,275,-440,36,546,561
276,389,903,514,34,500,515
277,570,422,-148,55,838,853
278,337,291,-46,62,940,955
279,472,714,242,17,228,243
280,865,110,-755,18,231,246
281,756,762,6,3,4,7
282,244,482,238,18,224,239
283,458,767,309,22,295,310
284,647,123,-524,32,462,477
285,318,619,301,22,287,302
286,516,684,168,12,154,169
287,963,289,-674,23,312,327
288,506,877,371,26,357,372
289,677,951,274,19,260,275
290,972,312,-660,23,326,341
291,860,413,-447,37,539,554
292,665,345,-320,44,666,681
293,422,339,-83,60,903,918
294,260,748,488,32,474,489
295,596,555,-41,64,945,960
296,37,356,319,24,305,320
297,888,278,-610,27,376,391
298,560,797,237,18,223,238
299,732,835,103,10,89,104
300,109,312,203,16,189,204
301,471,25,-446,37,540,555
302,70,163,93,9,79,94
303,426,13,-413,40,573,588
304,374,473,99,9,85,100
305,724,310,-414,39,572,587
306,863,895,32,3,18,33
307,327,536,209,15,195,210
308,206,406,200,14,186,201
309,157,931,774,51,760,775
310,2,690,688,44,674,689
311,911,646,-265,50,721,736
312,583,124,-459,37,527,542
313,933,108,-825,15,161,176
314,912,794,-118,57,868,883
315,379,370,-9,66,977,992
316,970,113,-857,13,129,144
317,117,212,95,10,81,96
318,609,627,18,3,4,19
319,169,265,96,7,82,97
320,707,319,-388,40,598,613
321,560,366,-194,53,792,807
322,765,452,-313,47,673,688
323,875,72,-803,15,183,198
324,419,199,-220,51,766,781
325,820,26,-794,16,192,207
326,72,253,181,14,167,182
327,469,604,135,12,121,136
328,216,130,-86,59,900,915
329,542,574,32,3,18,33
330,236,359,123,11,109,124
331,430,643,213,16,199,214
332,685,30,-655,24,331,346
333,540,61,-479,35,507,522
334,492,160,-332,44,654,669
335,714,238,-476,35,510,525
336,224,30,-194,53,792,807
337,751,858,107,10,93,108
338,665,164,-501,34,485,500
339,691,380,-311,45,675,690
340,589,240,-349,44,637,652
341,216,777,561,37,547,562
342,772,932,160,11,146,161
343,372,884,512,33,498,513
344,192,979,787,52,773,788
345,777,413,-364,42,622,637
346,819,991,172,13,158,173
347,391,490,99,9,85,100
348,376,57,-319,45,667,682
349,33,143,110,10,96,111
350,17,604,587,40,573,588
351,579,208,-371,42,615,630
352,130,328,198,15,184,199
353,891,962,71,8,57,72
354,743,801,58,6,44,59
355,554,432,-122,58,864,879
356,741,425,-316,45,670,685
357,301,753,452,30,438,453
358,22,554,532,35,518,533
359,199,321,122,10,108,123
360,701,487,-214,51,772,787
361,480,833,353,24,339,354
362,958,109,-849,13,137,152
363,542,32,-510,33,476,491
364,921,598,-323,45,663,678
365,161,507,346,24,332,347
366,720,498,-222,51,764,779
367,698,336,-362,43,624,639
368,5,749,744,48,730,745
369,725,504,-221,52,765,780
370,393,283,-110,58,876,891
371,119,233,114,9,100,115
372,207,95,-112,57,874,889
373,30,451,421,29,407,422
374,975,553,-422,38,564,579
375,479,799,320,21,306,321
376,849,258,-591,28,395,410
377,202,478,276,19,262,277
378,179,43,-136,55,850,865
379,343,266,-77,61,909,924
380,92,449,357,25,343,358
381,141,171,30,5,16,31
382,823,563,-260,48,726,741
383,189,137,-52,61,934,949
384,817,125,-692,21,294,309
385,861,688,-173,55,813,828
386,293,618,325,23,311,326
387,550,647,97,8,83,98
388,491,221,-270,48,716,731
389,285,213,-72,59,914,929
390,770,484,-286,47,700,715
391,803,830,27,5,13,28
392,571,727,156,12,142,157
393,491,430,-61,62,925,940
394,314,142,-172,54,814,829
395,46,449,403,28,389,404
396,389,348,-41,64,945,960
397,583,881,298,21,284,299
398,68,665,597,40,583,598
399,639,534,-105,60,881,896
400,320,467,147,12,133,148
401,828,603,-225,52,761,776
402,979,417,-562,30,424,439
403,502,371,-131,57,855,870
404,169,4,-165,55,821,836
405,179,863,684,45,670,685
406,854,923,69,7,55,70
407,486,4,-482,35,504,519
408,80,416,336,22,322,337
409,981,929,-52,61,934,949
410,688,547,-141,57,845,860
411,904,335,-569,31,417,432
412,143,171,28,4,14,29
413,42,283,241,17,227,242
414,706,668,-38,62,948,963
415,282,577,295,22,281,296
416,153,751,598,40,584,599
417,269,996,727,49,713,728
418,265,727,462,32,448,463
419,987,124,-863,11,123,138
420,694,372,-322,45,664,679
421,787,652,-135,56,851,866
422,176,271,95,10,81,96
423,895,646,-249,51,737,752
424,234,118,-116,57,870,885
425,443,578,135,12,121,136
426,461,336,-125,58,861,876
427,846,20,-826,14,160,175
428,692,339,-353,44,633,648
429,957,827,-130,57,856,871
430,51,672,621,42,607,622
431,353,861,508,34,494,509
432,475,853,378,26,364,379
433,981,669,-312,44,674,689
434,8,680,672,43,658,673
435,296,396,100,8,86,101
436,515,208,-307,46,679,694
437,400,931,531,36,517,532
438,238,228,-10,65,976,991
439,826,4,-822,13,164,179
440,491,906,415,30,401,416
441,227,149,-78,60,908,923
442,169,39,-130,57,856,871
443,284,288,4,2,2,5
444,892,327,-565,30,421,436
445,789,294,-495,34,491,506
446,334,345,11,4,5,12
447,35,901,866,56,852,867
448,347,669,322,22,308,323
449,822,888,66,6,52,67
450,780,956,176,12,162,177
451,477,726,249,18,235,250
452,444,829,385,26,371,386
453,146,834,688,44,674,689
454,435,212,-223,51,763,778
455,368,220,-148,55,838,853
456,481,325,-156,55,830,845
457,292,775,483,33,469,484
458,692,164,-528,31,458,473
459,730,87,-643,25,343,358
460,461,54,-407,39,579,594
461,808,888,80,6,66,81
462,349,52,-297,48,689,704
463,714,857,143,13,129,144
464,288,288,0,1,1,1
465,554,495,-59,62,927,942
466,397,543,146,11,132,147
467,535,138,-397,41,589,604
468,348,51,-297,48,689,704
469,623,452,-171,55,815,830
470,645,83,-562,30,424,439
471,171,504,333,24,319,334
472,684,430,-254,49,732,747
473,292,928,636,42,622,637
474,47,389,342,24,328,343
475,694,64,-630,25,356,371
476,522,496,-26,64,960,975
477,757,90,-667,24,319,334
478,669,872,203,16,189,204
479,810,641,-169,56,817,832
480,607,159,-448,36,538,553
481,334,744,410,28,396,411
482,795,374,-421,39,565,580
483,408,252,-156,55,830,845
484,821,411,-410,40,576,591
485,821,314,-507,34,479,494
486,221,383,162,12,148,163
487,376,636,260,18,246,261
488,137,751,614,41,600,615
489,166,273,107,10,93,108
490,154,26,-128,56,858,873
491,114,434,320,21,306,321
492,540,593,53,6,39,54
493,808,861,53,6,39,54
494,993,280,-713,22,273,288
495,152,658,506,34,492,507
496,959,15,-944,5,42,57
497,690,653,-37,63,949,964
498,189,360,171,14,157,172
499,150,868,718,48,704,719
500,873,62,-811,15,175,190
501,490,754,264,18,250,265
502,164,88,-76,60,910,925
503,909,950,41,5,27,42
504,336,718,382,27,368,383
505,608,163,-445,38,541,556
506,941,460,-481,36,505,520
507,360,768,408,27,394,409
508,561,633,72,6,58,73
509,681,481,-200,51,786,801
510,971,889,-82,60,904,919
511,764,738,-26,64,960,975
512,789,733,-56,60,930,945
513,857,396,-461,37,525,540
514,644,910,266,19,252,267
515,234,889,655,45,641,656
516,268,808,540,36,526,541
517,223,504,281,20,267,282
518,587,223,-364,42,622,637
519,743,902,159,14,145,160
520,16,400,384,25,370,385
521,892,978,86,8,72,87
522,382,135,-247,49,739,754
523,162,931,769,50,755,770
524,171,626,455,32,441,456
525,892,923,31,6,17,32
526,785,723,-62,61,924,939
527,649,570,-79,60,907,922
528,130,539,409,28,395,410
529,85,870,785,51,771,786
530,300,465,165,13,151,166
531,444,728,284,20,270,285
532,396,540,144,10,130,145
533,990,177,-813,15,173,188
534,692,358,-334,44,652,667
535,997,322,-675,23,311,326
536,339,191,-148,55,838,853
537,810,365,-445,38,541,556
538,386,106,-280,46,706,721
539,886,992,106,9,92,107
540,376,409,33,4,19,34
541,154,598,444,30,430,445
542,772,745,-27,64,959,974
543,787,69,-718,20,268,283
544,671,606,-65,62,921,936
545,203,204,1,2,2,2
546,40,744,704,45,690,705
547,656,197,-459,37,527,542
548,151,647,496,32,482,497
549,350,282,-68,60,918,933
550,326,285,-41,64,945,960
551,976,379,-597,28,389,404
552,182,660,478,33,464,479
553,330,688,358,25,344,359
554,155,174,19,4,5,20
555,806,909,103,10,89,104
556,541,491,-50,62,936,951
557,83,37,-46,62,940,955
558,655,598,-57,63,929,944
559,793,222,-571,30,415,430
560,459,943,484,32,470,485
561,165,718,553,37,539,554
562,209,498,289,20,275,290
563,735,283,-452,36,534,549
564,150,111,-39,62,947,962
565,688,194,-494,34,492,507
566,549,658,109,10,95,110
567,460,60,-400,39,586,601
568,649,719,70,7,56,71
569,284,122,-162,55,824,839
570,651,42,-609,28,377,392
571,406,852,446,31,432,447
572,102,504,402,27,388,403
573,737,806,69,7,55,70
574,448,501,53,6,39,54
575,589,941,352,23,338,353
576,736,753,17,3,3,18
577,717,854,137,11,123,138
578,629,159,-470,35,516,531
579,769,454,-315,46,671,686
580,124,860,736,47,722,737
581,495,653,158,13,144,159
582,480,425,-55,61,931,946
583,922,992,70,7,56,71
584,926,890,-36,62,950,965
585,149,972,823,55,809,824
586,42,189,147,12,133,148
587,703,465,-238,50,748,763
588,401,797,396,27,382,397
589,908,446,-462,36,524,539
590,829,871,42,5,28,43
591,690,573,-117,58,869,884
592,693,786,93,9,79,94
593,825,83,-742,18,244,259
594,8,701,693,46,679,694
595,927,997,70,7,56,71
596,550,540,-10,65,976,991
597,928,79,-849,13,137,152
598,20,232,212,15,198,213
599,288,695,407,29,393,408
600,72,449,377,26,363,378
601,683,140,-543,31,443,458
602,262,427,165,13,151,166
603,177,265,88,7,74,89
604,683,888,205,16,191,206
605,560,222,-338,44,648,663
606,456,709,253,19,239,254
607,953,137,-816,13,170,185
608,617,572,-45,63,941,956
609,413,486,73,7,59,74
610,759,93,-666,24,320,335
611,247,556,309,22,295,310
612,375,927,552,36,538,553
613,467,482,15,5,9,16
614,89,183,94,9,80,95
615,224,944,720,46,706,721
616,379,78,-301,47,685,700
617,703,869,166,13,152,167
618,942,185,-757,18,229,244
619,120,503,383,28,369,384
620,217,323,106,9,92,107
621,281,520,239,19,225,240
622,898,121,-777,18,209,224
623,752,232,-520,31,466,481
624,348,495,147,12,133,148
625,594,454,-140,56,846,861
626,116,114,-2,65,984,999
627,642,599,-43,63,943,958
628,902,479,-423,38,563,578
629,714,254,-460,36,526,541
630,253,299,46,6,32,47
631,938,133,-805,15,181,196
632,121,75,-46,62,940,955
633,461,558,97,8,83,98
634,782,374,-408,38,578,593
635,463,588,125,11,111,126
636,261,963,702,47,688,703
637,458,978,520,34,506,521
638,25,475,450,30,436,451
639,855,988,133,11,119,134
640,423,331,-92,59,894,909
641,651,674,23,5,9,24
642,548,165,-383,41,603,618
643,615,555,-60,61,926,941
644,891,370,-521,34,465,480
645,447,783,336,22,322,337
646,405,116,-289,48,697,712
647,48,655,607,42,593,608
648,135,946,811,54,797,812
649,886,341,-545,32,441,456
650,406,687,281,20,267,282
651,862,196,-666,24,320,335
652,244,977,733,49,719,734
653,844,841,-3,65,983,998
654,817,684,-133,57,853,868
655,254,464,210,15,196,211
656,747,909,162,12,148,163
657,392,389,-3,65,983,998
658,35,220,185,14,171,186
659,41,636,595,40,581,596
660,270,130,-140,56,846,861
661,132,826,694,46,680,695
662,709,118,-591,28,395,410
663,131,385,254,19,240,255
664,657,743,86,8,72,87
665,601,83,-518,32,468,483
666,451,829,378,26,364,379
667,41,937,896,57,882,897
668,326,847,521,35,507,522
669,883,476,-407,39,579,594
670,853,34,-819,14,167,182
671,866,0,-866,11,120,135
672,2,944,942,62,928,943
673,780,188,-592,27,394,409
674,956,960,4,2,2,5
675,687,537,-150,55,836,851
676,526,317,-209,53,777,792
677,891,334,-557,31,429,444
678,560,398,-162,55,824,839
679,444,864,420,28,406,421
680,55,243,188,14,174,189
681,268,529,261,19,247,262
682,814,412,-402,40,584,599
683,736,389,-347,44,639,654
684,671,148,-523,33,463,478
685,239,159,-80,59,906,921
686,338,960,622,42,608,623
687,959,276,-683,23,303,318
688,272,602,330,23,316,331
689,500,221,-279,47,707,722
690,108,573,465,31,451,466
691,475,958,483,33,469,484
692,275,994,719,49,705,720
693,406,729,323,23,309,324
694,709,77,-632,24,354,369
695,823,930,107,10,93,108
696,769,197,-572,29,414,429
697,507,511,4,2,2,5
698,792,471,-321,46,665,680
699,56,408,352,23,338,353
700,104,361,257,18,243,258
701,59,560,501,34,487,502
702,670,953,283,21,269,284
703,897,487,-410,40,576,591
704,355,154,-201,54,785,800
705,880,506,-374,41,612,627
706,847,374,-473,37,513,528
707,701,994,293,21,279,294
708,244,861,617,41,603,618
709,131,776,645,43,631,646
710,490,408,-82,60,904,919
711,755,583,-172,54,814,829
712,384,92,-292,46,694,709
713,625,426,-199,52,787,802
714,178,309,131,11,117,132
715,501,921,420,28,406,421
716,849,82,-767,17,219,234
717,965,136,-829,14,157,172
718,446,862,416,27,402,417
719,955,557,-398,40,588,603
720,373,395,22,4,8,23
721,624,258,-366,42,620,635
722,314,528,214,16,200,215
723,708,684,-24,62,962,977
724,812,336,-476,35,510,525
725,39,832,793,52,779,794
726,744,764,20,3,6,21
727,748,122,-626,26,360,375
728,285,897,612,40,598,613
729,568,121,-447,37,539,554
730,911,94,-817,15,169,184
731,278,478,200,14,186,201
732,614,681,67,7,53,68
733,386,252,-134,56,852,867
734,646,290,-356,42,630,645
735,898,374,-524,32,462,477
736,563,239,-324,44,662,677
737,9,72,63,8,49,64
738,814,867,53,6,39,54
739,921,742,-179,54,807,822
740,513,867,354,24,340,355
741,90,690,600,39,586,601
742,685,517,-168,53,818,833
743,370,806,436,29,422,437
744,158,996,838,55,824,839
745,25,984,959,64,945,960
746,513,888,375,27,361,376
747,837,101,-736,18,250,265
748,426,523,97,8,83,98
749,95,131,36,4,22,37
750,159,464,305,21,291,306
751,536,458,-78,60,908,923
752,295,708,413,29,399,414
753,680,243,-437,38,549,564
754,361,981,620,41,606,621
755,135,409,274,19,260,275
756,348,287,-61,62,925,940
757,184,90,-94,59,892,907
758,105,558,453,31,439,454
759,254,954,700,46,686,701
760,108,801,693,46,679,694
761,423,660,237,18,223,238
762,460,723,263,20,249,264
763,647,226,-421,39,565,580
764,255,171,-84,59,902,917
765,45,343,298,21,284,299
766,348,253,-95,59,891,906
767,788,289,-499,34,487,502
768,70,391,321,22,307,322
769,379,165,-214,51,772,787
770,548,290,-258,49,728,743
771,689,622,-67,61,919,934
772,813,300,-513,34,473,488
773,11,972,961,62,947,962
774,525,169,-356,42,630,645
775,695,700,5,3,3,6
776,120,851,731,49,717,732
777,144,187,43,6,29,44
778,614,872,258,18,244,259
779,440,361,-79,60,907,922
780,248,328,80,6,66,81
781,441,844,403,28,389,404
782,430,144,-286,47,700,715
783,825,955,130,10,116,131
784,687,65,-622,26,364,379
785,792,813,21,4,7,22
786,503,168,-335,44,651,666
787,279,421,142,12,128,143
788,813,913,100,8,86,101
789,521,69,-452,36,534,549
790,82,294,212,15,198,213
791,9,849,840,54,826,841
792,550,117,-433,39,553,568
793,326,149,-177,55,809,824
794,689,375,-314,46,672,687
795,873,33,-840,11,146,161
796,152,929,777,51,763,778
797,987,151,-836,12,150,165
798,582,632,50,5,36,51
799,41,933,892,58,878,893
800,588,219,-369,43,617,632
801,990,953,-37,63,949,964
802,36,858,822,54,808,823
803,203,297,94,9,80,95
804,294,585,291,21,277,292
805,609,719,110,10,96,111
806,766,269,-497,35,489,504
807,109,420,311,23,297,312
808,115,181,66,6,52,67
809,778,500,-278,47,708,723
810,248,301,53,6,39,54
811,363,424,61,7,47,62
812,819,884,65,6,51,66
813,268,186,-82,60,904,919
814,984,310,-674,23,312,327
815,145,766,621,42,607,622
816,399,466,67,7,53,68
817,624,96,-528,31,458,473
818,218,948,730,48,716,731
819,998,256,-742,18,244,259
820,218,300,82,7,68,83
821,631,286,-345,45,641,656
822,711,165,-546,31,440,455
823,48,788,740,48,726,741
824,529,133,-396,40,590,605
825,576,222,-354,43,632,647
826,669,766,97,8,83,98
827,3,577,574,39,560,575
828,67,835,768,49,754,769
829,683,778,95,10,81,96
830,876,586,-290,47,696,711
831,654,287,-367,42,619,634
832,598,225,-373,42,613,628
833,970,904,-66,61,920,935
834,604,65,-539,32,447,462
835,274,69,-205,53,781,796
836,28,193,165,13,151,166
837,342,337,-5,65,981,996
838,215,420,205,16,191,206
839,519,10,-509,34,477,492
840,236,906,670,45,656,671
841,445,802,357,25,343,358
842,989,530,-459,37,527,542
843,93,2,-91,60,895,910
844,426,970,544,35,530,545
845,169,205,36,4,22,37
846,381,401,20,3,6,21
847,437,936,499,34,485,500
848,255,487,232,16,218,233
849,391,670,279,21,265,280
850,742,490,-252,49,734,749
851,494,275,-219,52,767,782
852,252,893,641,42,627,642
853,570,137,-433,39,553,568
854,291,590,299,22,285,300
855,42,998,956,62,942,957
856,989,666,-323,45,663,678
857,517,657,140,11,126,141
858,901,914,13,4,7,14
859,534,477,-57,63,929,944
860,792,39,-753,19,233,248
861,46,54,8,2,2,9
862,70,977,907,60,893,908
863,934,979,45,6,31,46
864,833,340,-493,35,493,508
865,903,452,-451,37,535,550
866,668,120,-548,30,438,453
867,168,950,782,52,768,783
868,552,30,-522,33,464,479
869,516,375,-141,57,845,860
870,390,185,-205,53,781,796
871,964,217,-747,19,239,254
872,994,538,-456,35,530,545
873,423,550,127,12,113,128
874,489,503,14,4,8,15
875,349,293,-56,60,930,945
876,509,755,246,18,232,247
877,351,639,288,19,274,289
878,206,641,435,30,421,436
879,351,30,-321,46,665,680
880,740,129,-611,27,375,390
881,560,991,431,31,417,432
882,110,262,152,11,138,153
883,330,745,415,30,401,416
884,808,717,-91,60,895,910
885,473,743,270,20,256,271
886,600,400,-200,51,786,801
887,43,187,144,10,130,145
888,35,167,132,10,118,133
889,321,604,283,21,269,284
890,835,305,-530,32,456,471
891,516,790,274,19,260,275
892,855,689,-166,54,820,835
893,791,864,73,7,59,74
894,187,459,272,18,258,273
895,542,19,-523,33,463,478
896,95,19,-76,60,910,925
897,736,278,-458,37,528,543
898,157,167,10,3,4,11
899,175,594,419,29,405,420
900,842,229,-613,27,373,388
901,997,982,-15,64,971,986
902,12,709,697,46,683,698
903,750,671,-79,60,907,922
904,77,986,909,60,895,910
905,389,703,314,22,300,315
906,853,494,-359,42,627,642
907,181,568,387,27,373,388
908,636,928,292,20,278,293
909,840,72,-768,16,218,233
910,609,837,228,16,214,229
911,131,394,263,20,249,264
912,25,470,445,31,431,446
913,159,521,362,25,348,363
914,501,498,-3,65,983,998
915,685,501,-184,52,802,817
916,693,378,-315,46,671,686
917,258,389,131,11,117,132
918,88,188,100,8,86,101
919,307,452,145,11,131,146
920,173,547,374,26,360,375
921,73,45,-28,63,958,973
922,263,436,173,14,159,174
923,169,552,383,28,369,384
924,456,956,500,33,486,501
925,104,18,-86,59,900,915
926,40,8,-32,62,954,969
927,841,936,95,10,81,96
928,728,833,105,9,91,106
929,854,744,-110,58,876,891
930,993,162,-831,13,155,170
931,987,275,-712,19,274,289
932,67,988,921,60,907,922
933,281,321,40,4,26,41
934,376,595,219,17,205,220
935,75,676,601,40,587,602
936,136,700,564,37,550,565
937,631,594,-37,63,949,964
938,792,34,-758,17,228,243
939,819,356,-463,36,523,538
940,709,323,-386,41,600,615
941,490,677,187,15,173,188
942,931,765,-166,54,820,835
943,581,767,186,14,172,187
944,377,423,46,6,32,47
945,838,730,-108,58,878,893
946,360,3,-357,43,629,644
947,245,732,487,34,473,488
948,527,906,379,27,365,380
949,893,257,-636,25,350,365
950,359,905,546,36,532,547
951,879,911,32,3,18,33
952,403,684,281,20,267,282
953,402,908,506,34,492,507
954,417,2,-415,39,571,586
955,366,597,231,18,217,232
956,964,725,-239,50,747,762
957,318,295,-23,63,963,978
958,954,294,-660,23,326,341
959,139,663,524,35,510,525
960,255,275,20,3,6,21
