,origem,destino,distance,STEPS_Status.FULL_JUMP,STEPS_Status.SINGLE_JUMP,STEPS_Status.SEQUENTIAL
3217,418,968,550,37,536,551
3218,735,193,-542,31,444,459
3219,425,215,-210,52,776,791
3220,426,688,262,19,248,263
3221,481,516,35,5,21,36
3222,979,714,-265,50,721,736
3223,345,620,275,20,261,276
3224,127,826,699,47,685,700
3225,413,302,-111,58,875,890
3226,985,814,-171,55,815,830
3227,147,736,589,40,575,590
3228,284,544,260,18,246,261
3229,646,672,26,4,12,27
3230,539,991,452,30,438,453
3231,76,233,157,13,143,158
3232,992,73,-919,7,67,82
3233,431,876,445,31,431,446
3234,443,965,522,35,508,523
3235,756,0,-756,17,230,245
3236,489,224,-265,50,721,736
3237,596,564,-32,62,954,969
3238,689,316,-373,42,613,628
3239,121,106,-15,64,971,986
3240,413,352,-61,62,925,940
3241,895,119,-776,15,210,225
3242,825,401,-424,37,562,577
3243,979,228,-751,18,235,250
3244,589,440,-149,56,837,852
3245,888,64,-824,12,162,177
3246,207,98,-109,59,877,892
3247,282,327,45,6,31,46
3248,678,549,-129,58,857,872
3249,339,670,331,24,317,332
3250,475,96,-379,42,607,622
3251,80,466,386,26,372,387
3252,261,539,278,20,264,279
3253,404,808,404,27,390,405
3254,110,863,753,49,739,754
3255,213,906,693,46,679,694
3256,561,315,-246,49,740,755
3257,17,335,318,23,304,319
3258,969,831,-138,57,848,863
3259,212,566,354,24,340,355
3260,186,336,150,12,136,151
3261,449,401,-48,61,938,953
3262,24,39,15,5,9,16
3263,742,705,-37,63,949,964
3264,360,545,185,14,171,186
3265,615,263,-352,42,634,649
3266,839,18,-821,14,165,180
3267,45,29,-16,63,970,985
3268,734,838,104,8,90,105
3269,213,32,-181,54,805,820
3270,517,512,-5,65,981,996
3271,373,437,64,5,50,65
3272,473,341,-132,56,854,869
3273,196,982,786,51,772,787
3274,638,95,-543,31,443,458
3275,661,530,-131,57,855,870
3276,797,440,-357,43,629,644
3277,581,614,33,4,19,34
3278,687,601,-86,59,900,915
3279,393,236,-157,56,829,844
3280,311,930,619,42,605,620
3281,451,701,250,18,236,251
3282,154,666,512,33,498,513
3283,873,388,-485,35,501,516
3284,896,647,-249,51,737,752
3285,194,763,569,38,555,570
3286,239,352,113,9,99,114
3287,243,688,445,31,431,446
3288,235,238,3,3,3,4
3289,469,211,-258,49,728,743
3290,202,445,243,18,229,244
3291,608,303,-305,47,681,696
3292,918,863,-55,61,931,946
3293,707,269,-438,37,548,563
3294,38,159,121,10,107,122
3295,269,528,259,19,245,260
3296,224,574,350,25,336,351
3297,404,435,31,6,17,32
3298,514,500,-14,64,972,987
3299,54,660,606,41,592,607
3300,21,108,87,9,73,88
3301,21,7,-14,64,972,987
3302,504,46,-458,37,528,543
3303,206,810,604,40,590,605
3304,148,91,-57,63,929,944
3305,264,468,204,15,190,205
3306,556,286,-270,48,716,731
3307,308,912,604,40,590,605
3308,371,382,11,4,5,12
3309,238,945,707,47,693,708
3310,277,113,-164,54,822,837
3311,684,72,-612,26,374,389
3312,404,766,362,25,348,363
3313,42,551,509,35,495,510
3314,12,302,290,20,276,291
3315,442,137,-305,47,681,696
3316,793,826,33,4,19,34
3317,626,95,-531,32,455,470
3318,751,15,-736,18,250,265
3319,790,933,143,13,129,144
3320,907,120,-787,16,199,214
3321,16,460,444,30,430,445
3322,809,59,-750,18,236,251
3323,312,595,283,21,269,284
3324,436,697,261,19,247,262
3325,663,40,-623,26,363,378
3326,303,557,254,19,240,255
3327,659,396,-263,48,723,738
3328,468,640,172,13,158,173
3329,913,344,-569,31,417,432
3330,420,304,-116,57,870,885
3331,557,687,130,10,116,131
3332,954,294,-660,23,326,341
3333,49,262,213,16,199,214
3334,124,905,781,52,767,782
3335,222,40,-182,53,804,819
3336,308,65,-243,50,743,758
3337,729,52,-677,23,309,324
3338,257,411,154,12,140,155
3339,772,236,-536,30,450,465
3340,52,375,323,23,309,324
3341,401,460,59,7,45,60
3342,639,946,307,22,293,308
3343,721,25,-696,20,290,305
3344,925,677,-248,48,738,753
3345,626,43,-583,28,403,418
3346,234,900,666,44,652,667
3347,71,748,677,45,663,678
3348,188,784,596,39,582,597
3349,414,763,349,25,335,350
3350,380,367,-13,65,973,988
3351,574,544,-30,63,956,971
3352,249,648,399,29,385,400
3353,12,342,330,23,316,331
3354,487,601,114,9,100,115
3355,582,259,-323,45,663,678
3356,49,479,430,30,416,431
3357,958,928,-30,63,956,971
3358,36,254,218,16,204,219
3359,65,593,528,34,514,529
3360,66,339,273,19,259,274
3361,521,792,271,21,257,272
3362,994,451,-543,31,443,458
